idx,class,conversation
0,일반 대화,나 쌍수했는데 망한 것 같아\n 왜? 자연스러워 보이던데?\n 한 쪽이 짝짝이 같아\n 별로 티 안나!\n 내 눈에만 보이는건가\n 응 남들은 별로 관심 없을거야\n 그래도 너무 속상해\n 그럼 재수술은 어때?\n 다시는 수술하고 싶지 않아\n 많이 아팠나보네 수술이
1,일반 대화,군대는 몇살부터 가는지 알고있니?\n 만 19세 이상?고등학교 졸업하면 가는 걸로 알고 있는데\n 혹시 너는 여군 되고 싶은 생각 없었니\n 나이만 괜찮다고하면 군대 갈 생각 있어요 혹시 지금 가보실려고요?\n 너 아이가 여군간다고 하면 보낼 의향 있어?\n 아니요 험난한 곳에 남자만 득실거리는 곳에 딸은 안보낼께예요\n 여군 가면 집도 주고 혜택도 참 많다고 하던데\n 진짜요?그럼 제가 가면 안될까요 해택이 많아도 딸은싫은데요 힘들잖아요\n 그래 내 생각도 안 보내는 게 나을 것 같애\n 군대는 px만 이용해보고 싶어요
2,일반 대화,"나 운전면허 준비 중이야.\n 한 번 만에 붙도록 열심히 해.\n 실기 시험이야? 아니면 필기시험이야?\n 나 필기시험 준비 중이야.\n 필기시험 예상 문제 내줄까?\n 오, 우리가 낼 테니 너가 맞춰봐.\n 알겠어, 쉬운 걸로 내줘.\n 교통사고가 났을 때 현장에 운전자가 가장 먼저 취해야 하는 것은?\n 즉시 정차해야 해.\n 오, 정답 맞혔어. 잘아는데\n 즉시 정차 후에 어떻게 해야 하게?\n 사상자를 구호해야 해."
3,일반 대화,아버지 생신에 용돈 얼마정도 드려야할까?\n 음 나는 형편에 맞게 드리는데\n 5만원만 드리면 서운하시려나?\n 금액이 중요한게 아닐거야\n 하긴 안줘도 된다고 늘 말씀하시는데\n 어른들의 거짓말 아닐까\n 맞아 다른 자식들은 용돈주고 할텐데\n 말은 그렇게 하셔도 좋아하실걸?\n 이번달엔 10만원 드려야겠어\n 엄청 좋아하시겠다 아버지
4,일반 대화,"이번에 미국에서 난리가 났던데\n 미국에서?\n 왜 또 거기 뭔일 있대?\n 미국은 항상 난리 아니야? 키키\n 이번에 태국에서 의료용 장갑을 수입했대!\n 태국에서 의료용 장갑?\n 근데 그게 왜?\n 엥 의료용 장갑?\n 그게 왜?\n 근데 그게 중고로 쓴 거도 있었나봐!\n 헐 태국에서 쓴 거를 판 거야?\n 헐, 의료용인데 그건 심했다\n 그러니까\n 아마 태국에서 그렇게 한 거 같아\n 요즘 코로나여서 더 조심해야 되는데ㅠ\n 그래서 아마 미국측에서 다시 보낼 건가봐\n 어 그거 환불 해야겠다 ㅠㅠ\n 양 많겠지?\n 와 양 진짜 많겠다...\n 태국측이 이번엔 정말 잘못했어 ㅠㅠ\n 그런 거 창피한 거 알고 양심은 안 속였으면 좋겠어 ㅠㅠ\n 이런 의료용 물품은 진짜 조심해야 해"
5,일반 대화,동물원에서 토끼 봤는데 정말 귀엽더라.\n 토끼 귀엽지. 키우는 사람들도 많잖아.\n 맞아. 내가 아는 분도 토끼 키우셨었어.\n 정말? 실제로 본 적 있어?\n 어렸을 때 자주 봤었는데 정말 귀엽더라.\n 그럴 거 같아.\n 근데 토끼 키우기 조금 힘들 거 같아.\n 왜 그렇게 생각해?\n 토끼 너무 빨라서 사고치고 도망 다닐 거 같아.\n 그럴수도 있겠다.\n 예전에 봤을 때 펜스같은 거 설치했던 거 같아.\n 그러면 낫겠다.\n 대신 토끼가 좀 답답하겠다.
6,일반 대화,너희 아이디어스라고 어플 알아?\n 아 나 거기서 친구 선물 줘 봄 키키\n 그게 뭐야\n 나 모르는 게 너무 많아\n 나 이번에 여기서 야채 시켰는데 짱 싱싱해\n 엥 거기 야채도 팔아?\n 잉 그게 뭐야 나 처음 들어봐\n 1키로 한박스 샀는데 쩌네\n 거기 수제로 뭐 만들어서 파는 곳으로 알고 있었는데 키키 별거 다 파네 이제\n 아 진짜 야채도 팔고 하는 거야?\n 본인 텃밭에서 기른 걸 바로 파는 거야\n 아아 그래서 수제로 인정 해 주나 보다 키키\n 아 그렇구나 한번 이용해야겠다\n 응 그래서 야채에서 달팽이도 나와 키키\n 아이디어스 안 들어간 지 오래 됐는데 많이 바꼈을 듯 키키\n 진짜 좋네 싱싱하겠네 키키 그치 ?\n 그만큼 엄청 신선하다는 거겠지!\n 응 그런 듯 키키\n 나도 가서 봐줘야지 키키\n 아 나도 한번 시켜봐야겠다\n 키키 정보 감사
7,일반 대화,머릿결이 푸석푸석해지는 것 같아.\n 이번에 파마해서 그런거 아니야?\n 그렇겠지?ㅠㅠ 나는 머리카락이 너무 얇아서 쉽게 상하는 것 같아\n 맞아 머리카락도 선천적일텐데ㅠㅠ\n 아냐 선천적이긴 하지만 2번정도 바뀐대\n 아 그래? 신기하네\n 응 나 어렸을때 지금보다 훨씬 심한 곱슬이었는데 지금은 그렇게 안심해\n 키키 생머리로 바뀌진 않고 덜 심해졌네?\n 응 그래도 이게 어디야 어렸을 땐 정말 스트레스였어\n 지금은 반곱슬이라 더 예쁜 것 같아. 나는 부러워~
8,일반 대화,이직 할 생각 없어?\n 나는 아직까지는 없어\n 지금 회사에 엄청 만족하나 보네\n 나쁘진 않은 것 같아\n 복지가 괜찮아?\n 아니 그냥 여유시간이 많아\n 바쁘지 않은 것도 좋기는 하지\n 그래서 이직 생각이 별로 안나\n 그러면 계속 다녀도 좋지\n 응 그래서 당분간은 계속 다니려고
9,일반 대화,너희 디즈니 영화 좋아해?\n 웅 나 디즈니 영화 완전 좋아해 키키\n 나 그냥 보는 거 있고 안 보는 거 있고 키키\n 디즈니 영화 하면 미키 마우스 생각나 키키\n 아 맞아\n 그거 처음에 우리가 좋아했지 키키\n 미키 마우스 완전 오랜만에 듣는다 키키\n 디즈니 영화 뭐가 제일 재밌어?\n 음 나는 겨울 왕국 제일 잘 봤어 키키\n 난 미녀와 야수 좋게 봤는데 키키\n 나도 겨울 왕국 생각했는데!\n 맞아\n 그거 진짜 잘 만들었어 키키\n 겨울 왕국이 인기가 진짜 좋았지 키키\n 키키 그때 진짜 겨울 왕국 붐이었지~\n 맞아\n 애기들이 다 따라 하고 그랬잖아\n 나도 우리 조카 그래서 옷 사 줬어...\n 나는 시즌2 안 봤으니까 그거 봐야겠다 키키\n 헐 시즌 2 꼭 봐 재밌어 키키\n 맞아\n 나도 겨울 왕국 시리즈는 다 봤어 키키
10,일반 대화,우리집에 수족관 놓았어 니모 아니?\n 니모는 엄청 예쁘고 화려해요\n 알아? 아들이 정서적으로 안정이 된다고 사달라고해서 친구한테 가서 받아왔어\n 친구 분이  니모를 많이 키우세요\n 수족관을 하는 친구가 있거든 다양한 어종이있는데 니모가 예뻐서 그아이만 데리고 왔어\n 그런 열대어 같은 경우는 경우는 관리하기가 엄청 힘들다고 하더라구요\n 그래 관리하는건 온도 이런걸 잘맞춰야하는데 일단은 아이한테 좋다고 하니 데려왔지\n 저는 물고기는 키우는 것보다 먹는게 더 좋아요\n 열대어를 먹냐? 반려동물을 좋아해야지
