ai_chat_data_id	utterance_seq	utterance_text	uid	terminate
28	1	출판문화인 궐기대회에 대해 들어본 적이 있어?	112	0
28	2	네, 출판문화인 궐기대회에 대해서는 알고 있어요. 출판문화인들이 정부의 출판정책을 규탄하며 구호를 외치고 있다고 해요.	112	0
28	3	정부의 출판정책이 왜 규탄되고 있는 거야?	112	0
28	4	출판인들은 정부의 출판정책이 출판문화를 살리기보다는 오히려 출판계를 위축시키고 있다고 생각하고 있어요.	112	0
28	5	출판인들이 제시하고 있는 요구사항은 어떤 거야?	112	0
28	6	출판인들은 네 가지 요구사항을 전달했어요. 기초학술 교양 출판을 활성화할 출판지원 예산 삭감 계획을 중지하고 도서관의 도서 구입 예산을 늘려야 한다는 것이 그 중 하나에요.	112	0
28	7	출판계가 겪고 있는 어려움에 대해서도 알고 있니?	112	0
28	8	출판계는 올해 상반기에 유례없는 불황에 빠져 매출이 하락하고 있어요. 그런데 정부는 출판지원 예산을 삭감하려는 등 출판계를 지원하는 대책을 마련하지 않고 있어요.	112	0
28	9	출판계의 요구사항이 정부에 반영될 가능성이 있을까?	112	0
28	10	출판인들은 대규모 집회를 열어 요구사항을 전달했기 때문에 정부가 출판계의 어려움을 인식하고 대책을 마련할 가능성은 있을 것 같아요.	112	0
28	11	출판계의 어려움을 해결하기 위해 정부는 어떤 조치를 취해야 할까?	112	0
28	12	출판계는 출판지원 예산을 삭감하는 대신 도서관의 도서 구입 예산을 늘리고, 저작권법과 도서관법을 개정하여 출판권자들의 권익을 보장해야 한다고 생각해요.	112	0
28	13	출판계의 요구사항이 실제로 반영되면 출판문화가 변화할 수 있을까? 만약 그렇게 된다면 어떤 방식으로 변화가 일어날 거 같아?	112	0
28	14	출판계의 요구사항이 반영되면 출판문화는 더욱 다양하고 활성화될 것이라고 생각해요. 좋은 책들이 더 많이 나와서 독자들에게 다양한 선택지를 제공할 수 있을 거예요.	112	0
28	15	출판계의 어려움을 해결하기 위해 우리도 무언가를 할 수 있을까?	112	0
28	16	우리는 출판계를 지원하기 위해 독서와 책 구매를 더욱 활성화할 수 있어요. 출판인들이 노력하는 만큼 우리도 출판계를 응원해야 합니다.	112	1
