idx,class,conversation
0,일반 대화,
1,일반 대화,
2,일반 대화,나도 다이어트 해볼까?\n 이미 하는 중인 거 아니었어?\n 아니 잠시 중단했었어\n 왜 중단했어?\n 맛있는 게 너무 많아서\n 그랬구나. 내일부터라도 해\n 무슨 다이어트 할까?\n 굶는 다이어트는 하지 마\n 나도 알아. 먹으면서 운동하려고\n 잘 생각했어
3,일반 대화,요즘엔 그래도 복무 기간이 많이 줄어든 거 맞지?\n 옛날에 3년이던 거에 비하면 지금 18개월이라니까 뭐... 근데 남자들 입장에선 그래도 싫겠지...\n 그치 나 그래서 친오빠한테 요즘 복무 기간 짧아졌다는데 한번 더 갈 생각 없냐고 물어보면 진짜 극혐해 키키 즐겁다\n 뭐지 태양의 후예 한창 난리였을 때도 맨날 저거 다 말도 안된다고 막 그랬었는데 키키\n 키키 태양의 후예는 진짜 현실성 없다고 했어\n 이번에 디피라고 나온 거 알아? 이거는 진짜 현실적이래\n 디피가 뭐야? 드라마야? 아님 영화?\n 그 넷플릭스에서 하는 드라마...인 걸로 알고 있는데 그거 좀 군대 내에서 일어난 폭력이나 그런 거? 단어가 생각이 안 나네\n 웅웅 넷플릭스 드라마! 좀 폭력적이고 그렇긴 한데 되게 사실적이래\n 탈영병 잡는 헌병 얘기야! 재밌다더라공\n 찾아보니까 사람들 반응 되게 좋다~ 정해인 오랜만에 보네\n 정해인이 진짜 군인 역할 잘 어울리는 것 같아!\n 근데 저거 정말 현실적이라고 해서 좀 무서워 ㅠㅠ 탈영병 잡는 얘기인지는 몰랐네\n 응응 그래서 군대에서 맞았거나 해서 트라우마 있는 사람들은 보기 힘들 수 있다고 경고하더라고...\n 그렇구나  주변에 군에서 힘든 경험 있었던 사람 혹시 있어?\n 내 친구는 훈련소 때 심리적으로 너무 힘들어해서 군 병원에 한번 입원 한 적 있었었어 ㅠㅠ 그래서 친구들이랑 병문안 간 적 있어\n 아 진짜? 내 주변에는 그랬던 사람은 없는 거 같아...\n 아 근데 예전에 의경인가 거기서 총기 사고 났었는데 그 피해자가 우리 학교 사람이어서 막 추모 같은 거 하고 그런 거 본 적은 있음 ㅠㅠ\n 내 친구는 군대에 있을 때 선임이 앞에 걸어가고 있었는데 옆에 있는 돌로 죽여 버리고 싶었다 던대...\n 그 말 듣고 엄청 놀랐음...\n 헉스... 스트레스 엄청 심하셨나 보다... 근데 진짜 별의별 들이 전국 각지에서 모인다고 하더라고 키키\n 그니까 그런 사람들이랑 같이 생활하면 정상적이던 사람도 힘들겠지 ㅠㅠ\n 그렇지~ 매일 한 공간에서 봐야 하지 선임이면 거역할 수도 없고 ㅠㅠ\n 그래도 하도 군대에서 사건 사고 많았어서 마음의 소리라고 건의하는 거 있어서 많이 괜찮아졌다고는 하더라..\n 아 그래? 그래도 좀 다행이네 이제 핸드폰 쓸 수 있고 그래서 오히려 군대 내에서 사고가 덜 발생하긴 한대\n 비디오 같은 것도 촬영해서 여자친구나 부모님이 볼 수 있도록 하더라고~ 노력은 많이 하는 거 같아\n 아 맞아 맞아 핸드폰 사용 이후로 뭐 사건 사고 많이  줄었다고 했다 주변에\n 언니 남편 님은 육군 출신이셨어?\n 웅웅 육군! 핸드폰 쓸 수 있는 시간 되면 엄청나게 조용해지고 아무도 사고 안 치고 핸드폰만 한다더라 키키\n 아 긍정적인 측면이 있네~ 핸드폰 반입돼서 찬반 논란이 되게 많았는데~ 가족들은 좋을 거 같아\n 맞아 맞아 진짜 훨씬 자주 연락할 수 있다는 게 정말 안심하게 될 듯
4,일반 대화,코로나가 언제 종식 될까?\n 내 생각엔 종식은 힘들 것 같아\n 이제 코로나와 함께 살아야 하는 걸까?\n 약 개발되고 그럼 감기처럼 변하지 않을까?\n 그럼 매년 백신을 맞아야 할까?\n 먹는 약으로 나온다는 것 같던데\n 정말? 그럼 매년 먹어야 하는거야?\n 백신으로 나오면 독감주사 처럼 매년 그래야 겠지?\n 맞아야 할 백신이 또 늘었구나\n 지금 보다는 좋아 질꺼야
5,일반 대화,날이 너무 춥다\n 그러게. 겨울인 줄 알겠어\n 가을 옷도 못 입어 봤는데\n 그렇다고 패딩을 입자니 너무 두꺼워\n 맞아. 아직 패딩은 오버야\n 그냥 가벼운 옷 몇 개 더 껴입고 다녀야겠다\n 잘 생각했어\n 가을 옷은 내년 봄에 입어야겠네\n 응. 그래야 할 것 같아\n 빨리 겨울 지나갔으면 좋겠다
6,일반 대화,너는 형제가 어떻게 돼?\n 난 부모님이랑 남동생 하나 있어.\n 아 그 군인 남동생만 있는 거야?\n 어 그렇게 가족이 넷이야~\n 우리도 가족 넷이야 부모님 언니 나!\n 음 똑같구나 4명이 단란하지 키키\n 보통 가족 구성이 우리처럼 되어 있는 거 같애!\n 응 맞아 4명 아니면 5이지 보통\n 맞아 우리도 5명이었는데 할아버지가 돌아가셨어.\n 아 그랬었구나 몰랐네 최근에 돌아가신 거야?\n 아니 2015년도에 돌아가셨어 벌써 6년이 지났네!\n 아 꽤 지났었구나 엄청 슬펐겠다 어쩌시다가 ㅜㅜ\n 할아버지가 지병이 있으셨는데 다시 재발 해서 ㅜㅜ\n 하 지병은 정말 슬픈 일이야 ㅜㅜ\n 괜찮았어 그때?\n 그때는 슬펐지 근데 지금은 괜찮아!\n 음 그랬구나 다행이다 그래도
7,일반 대화,메타버스 서비스 알어?\n 메타버스 당연히 알지.\n 나는 잘 모르겠어.\n 내가 설명해줄까?\n 메타버스 설명좀 해줘.\n 가상세계는 알지?\n 가상세계는 알지.\n 메타버스가 가상세계야.\n 말만 어렵게 해놨네.\n 뉴스를 많이 봐야 해.
8,일반 대화,엄청 시원한 복숭아 아이스티 먹고 싶어\n 키키 헐 ㅡㅡ 립톤 아쓰티 짱!\n 난 추워서 따뜻한 핫초코 먹고 싶다!\n 키키 집이 너무 더워서 갈증나\n 키키 ㅇㅈ 나는 저녁 파김치 넘 많이 먹었더니 짜기까지 해서 방금 물 원샷침\n 키키 난 집 걸어가는 중이라 따뜻한 거... 흐잇...\n 아잇 오늘도 저녁 건너뛰어?\n 헐 ㅡㅡ에반데\n 집 가서라도 먹어라잉\n 아냐 키키\n 오늘은 닭가슴살 먹었지 하하~\n 키키 완전 건강식이네\n 다이어트 그만해\n 키키 글게 진심 키키\n 나두 낼 방토 먹는다 키키\n 마음 만은 그만 두고 싶지만... 이것 또한 살기 위한 발버둥인 걸...ㅎ\n 키키 지금도 괜찮은데!\n 키키 대추 토마토 먹고 싶다\n 키키 ㅜㅜ 헐 대토 갠찬?\n 나 토마토 혐오자라 스테비아로 시작 중\n 키키 토마토 좋지\n 하지만 고기... 땡겨\n 토마토 얼마나 맛있는데 키키\n 나도 낼 사 먹어야지\n 오우 스테비아로 사 먹어조\n 구워서 먹어조\n 나중에 꾸워 묵어야징 힣\n 맛있겠다
9,일반 대화,소년 촉법이 없어져야 한다는 여론이 많은데 언니는 어떻게 생각해?\n 당연히 없어져야 된다고 생각해!\n 나도 똑같이 생각해.\n 요즘 소년 촉법을 악용해서 범죄를 저지르는 청소년이 늘고 있다고 들었어.\n 응 게다가 소년 촉법이 미 적용 되는 나이가 되기 전에 일부러 더 많이 범죄를 저지른다고 하더라고\n 모든 청소년들이 그런 것은 아니지만 요즘 청소년들 정말 무섭구나.\n 그 인터뷰를 보는데 소름이 돋더라니까\n 얼른 법이 바뀌어서 청소년들도 제대로 죗값을 치뤄야 할 텐데.\n 청소년이라 실수로 범죄를 저지를 수 있으니 감형 된다는 법은 필요한 듯 하면서도 악용 사례가 높아져서 꼭 폐지되어야 된다고 생각해\n 나도 그렇게 생각해. 법이 개선돼서 아름다운 세상이 되었으면 좋겠다.
