idx,class,conversation
0,일반 대화,"너 하루에 물 몇리터 마셔?\n 나 진짜 물 잘 안마셔...\n 야 물 진짜 자주 마셔야 해!\n 맞아 다들 그말 하더라 근데 나 진짜 안 먹어\n 키키 안돼 그러면 나중에 너 방광에 문제 생길 수도 있어!\n 아 진짜 물을 안 마시면?\n 키키 어 방광에 돌 생겨서 너 죽을 수도 있을 걸 아파서,?\n 아 정말 그 정도라고\n 왜그래 겁주지마\n 키키 진짜 하루에 1. 5리터도 못 마시겠으면 500미리라도 마셔!\n 아 진짜로 그래야겠다\n 아니면 너 밥 먹을 때 국이랑 같이 먹어?\n 아니 나는 국물 자체를 안먹어...키키\n 키키 야 그러면 아침에 일어나자마자 물 한 컵 마시고 출근해!\n 나는 탄산을 너무 많이 마셔 ㅠㅠ\n 키키 야!  그거 마시면 다 살로 간다고!\n 이미 살이 쪄서... 괜찮아..."
1,일반 대화,우리 햄벅이 오늘 데려와야징\n 햄벅이 어디서 데려와?\n 오 잘됐다 키키\n 나도 보고 싶엄 키키\n 오랜만이다 햄스터 ㅠㅠ\n 설레\n 주변에 파는 곳이 있어?\n 나도 햄찌보고 싶다구 키키\n 이마트에서 데려와야징...\n 햄스터 진짜 오랜만!\n 그러게\n 어디서 파는데?\n 이마트에 있을껄? 아마도\n 사진 나중에 꼭 보여줘 키키\n 아 이마트에 파는구나\n 집이랑 다 사려면 재밌겠당\n 이마트에 아직도 있어?\n 몰랐어 키키\n 진짜 데려와? 키키\n 롯데에도 있으려 나?\n 거북이도 파는지 봐죠\n 몇 마리 데려오는데? 키키
2,일반 대화,"게임용 소품이라고 해야 하나?\n 게임용 헤드셋이나 키보드 같은 거 하나 사 두고 싶다\n 하긴 너는 게임 좋아하니까 그럴 만 하겠다\n 응 그런데 게임용 키보드는... 확실히 누르는 느낌이 있어서 좋긴 한데\n 키보드 누를 때 시끄러워 가지고... 집에서 이용하긴 무리가 있지 않나 싶어서 못 사겠어\n 하긴 그렇겠네, PC방 갔을 때 조작해 보면 누르는 소리가 좀 클 거라고 예상은 돼\n 응... 그리고 게임용 헤드셋은, 사실 사려다가 너무 PC방스러운 거는 별로여서. 키키\n 그래? 그럼 뭘로 사게?\n 그냥 질 좋고 음질 좋은... 일제 하나 사려고 생각하고 있어\n 그렇구나. 키키 혹시 좋은 거 발견하면 나도 알려 줄게\n 응 고마워. 키키 사실 헤드셋은 지금 주문해 둔 게 있어, 그래서 기대하고 있어\n 아하. 며칠 후면 그 헤드셋을 볼 수 있는 건가"
3,일반 대화,"할아버지하고 할머니께서 갑자기 아프시다는 소식이 들어왔어\n 아이고, 아프시다고? 위중하신 건가…\n 그냥... 할아버지는 누워 계시다가 병이 조금 더 도지셨고,\n 할머니는 평소 호소하던 통증이 조금 더 격렬해 지셨나봐\n 그렇구나… 그게 나이가 많으시면 작은 병도 그냥 볼 순 없는데 말야\n 응... 그래서 아빠가 급하게 시골로 내려갔어\n 그랬구나… 좀 괜찮아야 할 텐데…\n 나이가 들면 안 아픈게 그냥 축복인 거 같아\n 맞아… 나도 그렇게 생각해\n 그래서 운동을 소홀히 했었는데, 이제는 일 대충 끝나면 꼭 한 번씩은 밖에 나갔다 오기로 했어\n 응 그렇지. 나도 요가 수업 다시 받고 싶다… 코로나 때문에 가끔씩만 온라인으로 하고 있거든"
4,일반 대화,눈 건강 또한 중요해 키키\n 나 어제 팔목을 다쳤어 ㅠㅠ\n 비타민 챙겨 먹고 있어 나는\n 그래서 매일 비타민 먹고 있어\n 눈 좋아지려면 당근이 많이 먹어\n 다들 약 챙겨 먹어야 해\n 맞아 키키 비타민 챙겨 먹어야 해\n 트럭으로 먹어야 할 꺼야 ㅠ\n 나눈 매일 챙겨 먹고 있어\n 약 다들 챙겨 먹어 하하\n 비타민 없으면 몸에 힘이 없어\n 다들 챙겨 먹도록 해\n 매일 챙겨 먹어야 건강하려면\n 다들 유산균도 챙겨 먹고 있지?\n 모든 것이 즁요한 것 같아\n 유산균도 당연 먹고 있지 키키\n 장 건강도 정말 중요해\n 장 운동이 활발해야 해
5,일반 대화,키키 아 웃겨\n 그리고 대중교통도 잘되어 있어야 해\n 그니까 난 시골 못 살아\n 그럼 딱 터미널밖에 없지\n 천안은 역 근처가 발달이 잘 안 되어 있어서 ㅠ\n 진짜 터미널은 버스 타고 모든 곳에 다 갈 수 있어서 너무 좋아\n 그니까 천안은 터미널이 최고지\n 버스도 다양해서 빠르게 가기 천천히 가기 가능\n 맞아 맞아 키키 근데 왜 난 항상 천천히 가는 버스만 눈앞에 있는지 ...\n 키키 아 웃겨 그게 뭐람\n 내가 타고 싶은 빠른 버스는 항상 15분 이상\n 키키 맞아 진짜 버스랑 나랑 안 맞는 듯\n 난 버스 좋아 자전거랑 ...\n 아니 버스 그리고 몇 분 전 이런 거 다 안 맞아 ㅜㅠ\n 아 맞아 ... 그래도 터미널에서 내가 탈 버스는 거진 터미널이 출발지라 대충 맞아\n 그니까 너무 화나 아오\n 나는 뭐 5분 전이라 해서 뛰어나가면 아직도 5분 전이야...\n 잠시 시간 멈추냐\n 키키 아 웃겨 오빠 천천히 걸어가라고 도와주는 거네\n 키키 다들 건강하게 걸어 다닐까\n 그래서 다음날 천천히 가지?\n 버스 지나가
6,일반 대화,** 골프 몇 년 차임...\n 골프 침 **도? 하하\n 나 이제 거의 1년? 아 뜨문뜨문 갔더니 실력제로\n 골프 레슨 계속 받음?\n 오 아주 좋은데 완젼 하하\n 응 계속 받고 있음 지금 몸이 근질근질\n ** 맨날 골프치러감\n 오 아주 멋지다 하하\n 주사때메 못 갔거든 ㅠ.ㅠ 가고 싶다 나의 운동 골프\n 다 골프 치네 진짜\n 그니까 나도 배우고 싶다\n 우리 다 함께 배워보는 거 어때?\n 우리도 뛰어 들어야 하는 거 아니니\n 그니까 뛰어 들어야 해 하하\n 진짜 같이 스크린 다니고 하면 넘나 재밌을 듯\n 골프 치면 땀남?\n 그니까 운동 되제?\n 땀만 나겠니 ㅠ ㅠ 전신 운동이야
7,일반 대화,내일 화장품 사러 가려구\n 나 샴푸 뭐 살지 고민 중이야\n 나 이번에 강아지 미용실 다녀왔어\n 난 이제 외모 관리 할꺼야\n 화장품은 직원한테 물어봐 봐 키키\n 나도 미용실 가야 되는데\n 샴푸 나도 고민이야 요즘\n 거기서 더 잘생겨지면 너랑 같이 안 다닐래 키키\n 머리를 2달 동안 못 잘랐어\n 올리브영 가서 왁스랑 살려구 이젠\n 그럴 거면 연예인을 하지 왜\n 이번에 가면 샴푸 추천도 받으려고\n 헤어 스프레이도 살꺼야 키키\n 린스도 추천 같이 받아 키키\n 요즘 머리가 너무 상해서 큰일이야\n 로션도 비싼 거 바를 꺼야 이젠\n 로션도 좋은 거 발라야 해 키키\n 내가 파마를 너무 자주 해서 그렇대
8,일반 대화,"미국은 확진자 줄어 들지를 않네...\n 그니까 거긴 왜 그러냐 하하\n 미국은 매일 확진자 나오더라구\n 아직도 8만 명씩 나옴\n 맨날 많이 나오네 하하\n 우리나라도 마찬가지야 아주\n 인구가 많아서 그렇나\n 영국도 장난 아님 하하\n 얼른 없어져야 해\n 엄청나다 정말 영국도 장난 아냐?\n 영국은 그럴만하더라 축구장 보니까\n 영국도 엄청 심하지,\n 근데 축구 해도 됨?\n 전부 마스크 벗고 있더만 하하\n 유럽은 다 전멸이야...\n 영국 마스크 안 끼던데?\n 아주 쿨해서 좋아\n 축구 마스크 안 쓰더라구"
9,일반 대화,미용실 자주 가는 사람~\n 나는 진짜 자주 안 가는 편\n 나 머리 자를 때 됐음\n 미용실 가는 거 넘 괴로워...\n 한 달에 한번 겨우 간당...\n 짧으니까 더 자주 가야 댐\n 나 성인 adhd 인가...\n 미용사랑 말하는 거 넘모 부끄러움\n 파마두 해야 대능데\n 앉아 있는 거 힘들어\n 그럼 그럴 수도 있다\n 직원이 말 걸면 어버버함...\n 그럼 눈감고 있으면 말 안 시킴...\n 키키 그럼 내 머리 어찌 자르는지 모르자나\n 키키 다들 말하는 거 싫어하누\n 키키 어버버버는 왜 하냐고 키키\n 어버...어버...머...리...깎...\n 아 당황해서 그렇지
