idx,class,conversation
960,일반 대화,나도 가족을 많이 의지하니까 나이 들수록 생각이 많이 나.\n 생각하는 것만큼 행동으로 나타내기가 힘들지?\n 응 진짜 나가족들한테 잘 하고 싶은데 그게 안돼.\n 지금은 너가 힘든 일도 많고 여유가 없어서 그렇지.\n 나한테 제일 소중한 게 가족인데 그렇게 대하질 못하고 있네.\n 너도 충분히 좋은 딸이니까 걱정 마.\n 나도 언니 같은 딸이면 좋았을 텐데.\n 다 다른 기쁨을 주는데 뭘 그래?\n 그래도 언니가 엄마 아빠 챙기는 거 보면 좀 미안해지고 그래.\n 너도 엄마 아빠 영양제도 사주고 많이 챙기잖아.\n 이제 내가 성공해서 효도할게 하는 말도 못 하겠어.\n 건강하게 잘 살아가는 게 효도하는 거야.
4270,일반 대화,"코로나 백신 부작용, 그걸 믿는 사람에겐 실제로 부작용이 나타날 수도 있다는군\n 그게 무슨 소린가?\n 플라시보 효과를 말하는 건가?\n 응응 그거랑 비슷하네. 자기충족적 예언이라고도 하지.\n 즉 백신을 맞고 부작용이 나타날 거라고 믿으면 나타나지 않을 수도 있었던 백신 부작용이 나타난다?\n 말하자면 그런 셈이지.\n 연구에 따르면 백신을 맞기 전에 예상했던 것과 실제 맞은 뒤 경험 사이에 연관성이 나타났다고 하네.\n 심리적인 요인의 영향을 받는다는 얘기로군.\n 믿은 사람들에겐 실제로 어떤 부작용들이 나타났다고 하나?\n 두통이나 주사 맞은 자리의 통증, 피로감 같은 부작용이 나타났다고 하네\n 신기한 얘기로군 그래.\n 그렇게 될 거라고 믿는 것의 힘이 그만큼 대단하다는 거지.\n 인간의 몸은 정신의 영향을 많이 받는다는 뜻이기도 하고 말이야.\n 하긴. 말이 씨가 된다라는 말도 있으니 말이야.\n 그러고보니 그 말이랑 딱 맞는 상황이로군."
16722,일반 대화,너희는 군대에서 만난 사람들 아직 만나니?\n 나는 후임 한 명 빼고는 안 만나\n 그래? 나는 우리 소대원 거의 다 만나는데\n 정말? 너희 사이가 엄청 좋구나\n 그러게 사는 곳도 다 달라서 만나기 되게 힘들던데\n 우리는 신기하게 사는 곳도 비슷하고 상황도 비슷해서 자주 만나\n 맞아 너 저번에도 후임들 만나러 간다고 축구 안 나왔잖아\n 끈끈하니까 되게 보기 좋더라\n 다들 군대에서 고생 엄청 하잖아 전우애같은게 생기나 봐\n 그렇긴 하지 다같이 고생하면 알게 모르게 그런 게 생겨\n 나는 소대 사람들이 다 별로여서 전역하자마자 바로 연락 끊었는데\n 하긴 그럴 수도 있겠다
16484,일반 대화,오빠 이번에 핸드폰 안 바꿨어?\n 나 작년에 아이폰으로 바꿈!\n 헐 키키 아이폰 지금 새폰 나왔잖아 하하\n 키키 매년 아이폰은 새로 나오지 않나?\n 그렇지 키키\n 올해 꺼가 대박이더라 ㅠㅠ 완전 좋아\n 키키 너는 이번에 아이폰 샀어?\n 응 13프로 사전 예약해서 바꿔버렸지 키키\n 오 대박 키키 사전 예약해서 오늘 받은 거야?\n 엊그제 받았는데 아직 뜯지 못했어 키키\n 키키 왜 아직 개통 안 된 거야?\n 아니 내가 일하느라 바빠서 뜯을새가 없었어\n 오우 키키 그거 아끼다 똥 된다~\n 글쎄 오늘 연휴라서 하나 써보려고 키키\n 키키 그래 색상은 무슨 색이야?\n 나는 골드로 샀어 키키 영롱해\n 키키 요즘에 13은 하늘색인가? 그거 이쁘다던데
4936,일반 대화,"오징어게임이 해외에서도 인기래\n 역시 넷플릭스에서 1위하는 이유가 있었어\n 누나들이 하도 오징어게임 얘기해서 궁금해서 찾아봤잖아\n 오징어게임정도는 알고 있어야 대화가 통하지\n 맞아 얼마나 유명한데\n 그래 해외에서도 인기있으면 말 다했지\n 나는 근데 왜 인기있는지 잘 모르겠어\n 맞아. 근데 생각해보면 넷플릭스에서 잔인한 드라마들이 인기있는 것 같아\n 약간 그런 면이 있긴 한 것 같다. 스위트홈도 그렇고\n 스위트홈은 못 봤는데 킹덤도 그렇고 그런 장르가 왜 인기있을까?\n 그러게, 나는 그런 장르보단 로맨틱코미디가 더 재밌어\n 나는 액션이 좋아서 그런 장르는 별로인 것 같아."
16143,일반 대화,얘들아 안녕?\n 실내에서 키우기 좋은 소형견 뭐가 있을까?\n 음 강아지는 말티즈나 치와와 요키?\n 개인적으로 말티즈 추천해 키키\n 털도 많이 안 빠지고\n 그중에 너는 어떤 게 제일 귀여워?\n 털 안 빠지는 거 좋아하면 말티즈나 요키 키키\n 그치 키키\n 말티즈가 최고야 키키\n 너무 귀엽지\n 헐 말티즈는 털 많이 안빠져?\n 응 말티즈는 키우기가 쉬워 키키\n 털 빠지긴 하는데 관리도 쉽고 많이 안 빠지고\n 근데 내 친구 말티즈는 엄청 사납던데 ㅠㅠ\n 아 그거 주인 닮아서 그런 거야 하하\n 말바말 키키\n 까칠한 강아지는 까칠하더라\n 키키 맞아\n 반려동물도 주인 닮는 다더라 키키\n 맞아\n 주인 닮아\n 그래서 울 애기들 순해 키키\n 감사감사\n 너무 사랑만 받으면 교육도 안 되더라 키키\n 아 진짜?\n 너네 강아지 진짜 순해?\n 어 순해\n 가만히 있어\n 짖지도 않고 키키\n 안 짖는 거 진짜 부럽다 ㅠ
5963,일반 대화,졸 멀리 여행가고 싶다\n 응 멀리 아주 멀리\n 어디로 가고싶노 박쥐 키키\n 완전 비행기 14시간 이상 되는 곳\n 저 유럽으로 가고싶네\n 헐랭 너무 멀지 않나 키키\n 키키 완전히 시차 폭발인듯 키키\n 나도 비행기 오래타고 싶다\n 내는 비행기 오래 못 타겠더라 ㅠㅠ\n 음 뉴욕 정도 가 좋겠군\n 완젼 재밌었는데 비행기 오래타기 ㅠㅠ\n 내 비행기 타면 잠을 못 자거든 키키\n 뉴욕 가보고 싶지 않냐?\n 난 아주 꿀잠잠 하하\n 비행 내내 밖을 보고 있음\n 미국의 중심... 간지...\n 자고나니 미국이었어 하하\n 뉴욕시티 함 가보자~ 고고
9035,일반 대화,봄 가을이 날씨 제일 좋은 것 같아 키키\n 맞다 키키 선선하고 좋치\n 지금도 많이 선선하당 키키\n 키키 저녁에 춥긴 하더라\n 그러니까 키키 오늘도 나갔다 왔는데 감기 걸릴 날씨였다\n 키키 저녁에 반팔 입고 나갔다 왔나?\n 아니 긴팔에 반바지 입고 나갔다 왔는데 추웠엉 키키\n 키키 긴바지 입고 가야지 키키\n 키키 긴바지는 아직 답답해서 못 입겠어 ㅠㅠ\n 아파봐야 정신 차리지!\n 키키 지금 약간 코가 맹맹해\n 자기 전에 약 한 개 먹고 자라 ㅠㅠ\n 판콜에이 하나 마실까...\n 응 먹고 이불 덮고 푹 자야 된다 ㅠㅠ\n 근데 쫌 춥다가 또 더워져서 선풍기는 틀어놓는당\n 키키 니도 더위 많이 타나 보네
14908,일반 대화,사회적으로 요즘 게임 중독이 이슈인 것 같아요\n 특히나 FPS 게임은 실제로 살인 충동을 일으키기도 하지\n 네 최근 게임 중독을 막기 위해 여러 정책들이 진행되고 있더라구요\n 게임 중독을 막기 위해 어떠한 정책들이 있을까?\n 10시가 넘으면 미성년자들 계정은 로그아웃 되더라구요\n 실제로 그럴까?\n 10시 이후에도 많이 본 것 같은데\n 맞아요 여러 방법이 있을 것 같아요\n 다들 부모님 명의로 회원 가입을 해서 게임 하더라구\n 네네 요즘 마인크래프크라는 게임도 미성년자 게임 중독 방지 때문에 성인 게임이 됐더라구요\n 근데 생각해보면 나도 어렸을 때 부모님 주민 번호로 가입을 했던 것 같아 키키\n 부모님 감사합니다 키키\n 네네 키키 맞아요 키키\n 저도 그랬던 적이 있어요\n 문제만 안 일으키면 게임 하는데 아무 문제가 없을 껀데
10603,일반 대화,얘들아 너네도 군 생활 하면서 악질 선임 있었어?\n 나는 내가 다 이겨버렸어\n 있었지... 그 사람만 생각하면 아직도 치가 떨린다\n 으... **는 다행이네...\n 넌 어떤 사람 만났었어?\n **는 무슨 부조리 당했는데?\n 분대원들끼리 밥을 먹는데 분대장이 자기는 이등병이 싫다고 하더라... 나 혼자 이등병인데...\n 헐... 그런 말을 해...? 참나...\n 그냥 너가 싫은 거였네...\n 그니까... 나 너무 힘들었어 ㅜㅜ\n 휴 진짜 그런*들은 다 벌 받아야 해\n 아무 이유 없이 괴롭히고... 나쁜 사람들이야\n 군대는 원래 그런 거야...\n 나 선임 되니까 부조리 다 사라지더라 키키
