idx,class,conversation
0,기타 괴롭힘 대화,"너 엄청 귀여운거 알지? 나보다 작은 남자는 처음 봤어.
하지마 너희들 놀리는거 재미없어.
지영아, 너 키 160cm 맞지? 그럼 재는 160도 안 되는 거네?
너 군대도 안 갔으면 좋겠다.
너희가 나 작은데 보태준 거 있어?
난쟁이들도 결혼했어. 당신도 희망을 가져봐
더 이상 하지 마.
그 키는 수술도 있다던데? 너희 어머니는 그걸 안 해주셔?
나라면 해줬지. 저 키로 어떻게 살아.
제발 괴롭히지 마!"
1,기타 괴롭힘 대화,"이거 할인이 되는거죠
확인해보겠습니다
아까 그때 할인해줬어
네, 저 손님은 손님입니다
고객을 차별하는 건가요?
저희는 등급제로 운영되고 있기 때문입니다
점장님 불러오세요
고객님, 이것은 점장님도 해결해 주실 수 없습니다
그러니까 점장님 불러와
진정해보세요"
2,기타 괴롭힘 대화,"이봐, 네 이마에 빛이 난다
어?
야, 한 대만 때려보자구
아, 왜 그래
아팠어? 빛이 나서 때려봤어. 가만히 있어. 자꾸 때리면 열릴 것 같은데? 빛이 나려나?
무슨 소리야, 저리 가
당신 쓸쓸하게 왜 그래 친구들 사이에 팡팡팡
야, 오빠. 미치겠어?
야, 빛난다. 이마가 너무 예뻐
부글부글"
3,기타 괴롭힘 대화,"파리가 뒤엉켜 어디선가 알 냄새가 나는가 설마 사람이 할 수 있는 냄새는 아닐 테고
당신 뭐라고 한거야
이러쿵저러쿵 장난치지 마라
야야야, 가만 놔둬. 네가 뜨끔해서 그랬을 거야
너도 싸우고 싶어?
오구오구 욕먹고 화났어요?
왜 나한테 뭐라 그래 너희들
너가 정말 마음에 안들어서"
4,기타 괴롭힘 대화,"야, 거지야!
너희 집은 저기 판잣집이라던데?
.
판잣집이 뭐야?
저 위에 쓰러져 가는 집 있잖아. 거기
귀신의 집처럼 다 무너졌는데?
아가야 귀신의 집은 안 부서지잖아. 쟤네 집은 천장에 구멍도 뚫려 있을 거야. 추워서 집에서 이불을 둘둘 감고 있을텐데. 잘 얼어 죽지는 않았네.
추운데 걱정은 안해주는데 그게 무슨 망언이야? 거지 친구야, 내가 핫팩 하나 줄까? 추우니까 이런 거라도 있으면 되지 않을까? 크크크.
와, 배려심이 많네. 큰일 났다. 나도 쓰던 거 있는데, 저녁까지는 쓸 수 있을 것 같아.
내가 내일도 쓰던거 줄테니 꼭 챙겨가. 쟤 주면 내 손이 시려서 어떡해?
애들 꼴에 자존심은 있는지 얼굴이 빨개지네? 그렇게 해도 너는 거지놈을 면치 못한다."
5,기타 괴롭힘 대화,"당신, 생활비를 주세요
아니, 이 마누라는 언제나 입만 열면 돈 얘기야
애들 학원비로.
괜히 애들 핑계 대지 마!
제가 입고 쓸 건 없어요.
거짓말하지 마라 배가 출렁출렁해
여보, 그런 말 말고 생활비 좀 주세요
못 줘! 뱃살이 빠지는 것을 더 이상 보고 싶지 않아도 줄 수 없어
정말 제가 먹고 쓸 건 없어요. 믿어주세요.
저리 가, 이쪽이야, 정나미 떨어져"
6,기타 괴롭힘 대화,"병든 몸이 아이스크림을 먹게 돼 있어?
나는 먹으면 안돼? 그만 좀 해.
당연히 안 되지. 너 공부 못하는 친타잖아.
야, 닭 대가리가 얘기도 하네. 동물농장으로 나가자.
너희 학교 폭력으로 신고하기 전에 하지 마.
아, 무서워요. 도와주세요 우호호
제발 저리 가.
나 같으면 아이스크림 먹을 시간에 공부할래.
거기, 서!
저러니까 맞는 거야"
7,기타 괴롭힘 대화,"네가 나를 따라한다는 아이구나?
내가? 나는 너를 따라하지 않을 거야.
뭐야 여기 사진 다 있어. 너 내가 누군지 모르지? 너 한 번 찍으면 정신 차리냐?
아니야, 나. 나는 진짜 아니야. 이건 내가 아니야.
애들이 뭐야? 아무렇게나 좀 나서다.
진짜 나는 진짜 아니야. 나는 이런 곳에 가본 적도 없어.
야, 네가 내 남자한테 꼬리를 질렀다고 거짓말하지 마. 내가 다 듣고 이러는 거니까?
진짜 나 아니야. 나랑 닮은 아이 같아.
야, 어떻게 해.
얘들아 제발 이러지 마. 선생님께 말할게."
8,기타 괴롭힘 대화,"이봐 당신은 00고등학교에 배정되어 어쩌지
왜 00고등학교가 어떻게 된거야?
거기는 네싱리잖아. 애들도 다 돌대가리 아니면 불량배뿐이래
난 상관없어. 어차피 공부할 수 있으니까
뭐가 상관없어. 너의 친구들도 다 공부도 못하고 노는 애들만 있는거 같은데
쟤네랑은 안 놀아. 나 혼자서 지낼꺼니까
너도 쟤처럼 더러워지겠지? 나는 고등학교에 가서 집에서 잘 살고 공부를 잘하는 친구들을 많이 사귈 생각이지만
그래라
당신은 어쩌나, 인생이 엉망이야
그만해"
9,기타 괴롭힘 대화,"야, 손병신.
아휴.
한숨 쉬었어? 야, 손병신.
그렇게 부르지 마.
어? 병신이한테 병신이라고 하는데.
그렇게 말하지 말라고.
야, 병신아. 너 손이 그래서 똥은 어떻게 닦아?
그런 말 하지 말라고.
이 자식이 형 말에 말대꾸야?
아, 때리지 마.
아이고, 병든 자식아!"
10,기타 괴롭힘 대화,"당신 내가 보지말라고 했잖아
미안하지만 본건 아니야
지금 보고 있잖아
아니, 일부러 본 게 아니야
봤구나. 왜 거짓말을 해? 거짓말은 나쁜거지?
.그래
그러면 맞는 게 낫겠지?
미안, 미안
뭐가 잘못됐어?
반성문을 쓸께"
11,기타 괴롭힘 대화,"너 왜 내 사진 합성해서 프로필 사진 했어?
이게 왜 너야?
맞잖아. 얼굴과 몸을 이렇게 합성한 이유가 뭐냐고.
얼굴만 좀 닮았는데? 생뚱맞다.
이거 나 일부러 놀리려고 한 거지? 그리고 남의 사진으로 이렇게 하는 것은 불법이니까?
아, 네네. 그래서? 이거 내가 했다는 증거 있어? 내 핸드폰으로 다른 사람이 했을 수도 있잖아
그럼 사진을 지워.
싫어? 재밌잖아. 돼지 같아서 좋잖아. 야, 그리고 돼지 얼굴에 돼지 몸 붙인 게 잘못이야?
어? 돼지라고? 너 진짜 말 가리고 해.
돼지 아니야? 너 걸을 때마다 꿀꿀거리잖아."
12,기타 괴롭힘 대화,"너 이번에 약속한 것만큼 빼지 못했어?
0.1 부족한 거였잖아.
그래도 살을 못 뺐어, 돼지야, 왜 그렇게 못 빼.
나도 노력했어. 나도 노력했는데. 안 되는 걸 어떻게 해.
나도 그 정도는 식은 죽 먹기로 했어. 어디서 돼지가 이상한 소리를 내는지.
나는 돼지가 아니야. 더 노력하면 예뻐질거야.
돼지가 노력하면 예뻐진대. 돼지가 예쁘면 얼마나 예쁜데 다 같은 돼지인데.
돼지 아니라니까. 하지마
내 동생이라는 게 부끄럽다. 돼지야, 돼지야, 돼지야, 너는 나에게 아는 체하지 마.
형, 미워."
13,기타 괴롭힘 대화,"야, 재현아
미친 놈이 누굴 보고 재현이래. 더럽군
아휴.
다.야, 너 내가 더 징그러워. 존재 자체가 성가신 너야
야, 재현이 보고 아기라고 하지 마. 아기라는 욕이 불쌍해
그렇지, 내가 미안하니까 이제 그만해. 미안.
그래야 현우야 적당히 하자. 괜히 심하게 만지면 큰일 날 것 같아서 나중에 적당히 만지자
아니, 이상한데? 야, 나를 나쁜 사람으로 만드냐? 그리고 네가 왜 명령을 해
야, 현우야. 적당히 하라고 했는데 그 더러운 놈을 잘못 건드리면 우리만 손해야
착한 내가 참을게.
야, 적당히 해. 내가 무슨 죄를 지었기 때문에 계속 그러고 있는데, 그만 좀 해
이 자식이 미쳤구나 하교 시간에 만나자 먼지가 날 정도로 맞을 준비를 하고
이 녀석, 중학교 생활이 엉망이 되었군
너 사람 잘못 봤어. 성적표 점수도 내려갈 준비를 하고"
14,기타 괴롭힘 대화,"야, 내 민호 봐. 팔이 한쪽밖에 없어요
얘들아 놀리지 마.
야, 뭘 놀리는 거야. 놀리는 게 아니야
내가 듣기로는 놀리는 것으로 밖에 들리지 않는다
하. 이 시발럼이야, 져주면 안 돼?
갑자기 왜 그래.
야, 네가 화나게 하잖아. 시발
아니, 오빠가 놀리는 것 같아서.
야, 놀리는 거 아니라고 자꾸 얘기해. 다시 한 번 말대꾸해 봐. 다음에는 죽일 테다
응, 미안해."
