,idx,class,conversation,Augmentation
0,3,갈취 대화,"어이 거기
예??
너 말이야 너. 이리 오라고
무슨 일.
너 옷 좋아보인다?
얘 돈 좀 있나봐
아니에요.돈 없어요
뒤져서 나오면 넌 죽는다
오늘 피시방 콜?
콜. 마지막 기회다. 있는거 다 내놔
정말 없어요","이봐 거기
어??
여보, 여보. 이리 오라고
왜 그래.
너 옷이 좋아 보인다?
얘 돈이 있나봐
아니요, 돈이 없습니다
찾아 나서면 너는 죽는다
오늘 피시방 갈래?
OK. 마지막 기회다. 있는 것을 다 내놔
정말 없습니다"
1,4,갈취 대화,"저기요 혹시 날이 너무 뜨겁잖아요? 저희 회사에서 이 선크림 파는데 한 번 손등에 발라보실래요?
아 진짜요? 안 그래도 선크림 필요해서 알아보던 중인데 한 번 발라 볼게요!
여기 한 번 발라보세요. 진짜 성분도 좋고 다 좋아요.
음. 성분이 좋다고 하셔서 좋은거 같기는 한데 제 피부에 맞지 않나봐요. 피부가 따끔거리네요.
이번에 진짜 열심히 연구해서 만든건데 피부가 많이 예민하신가봐요.
네 많이 예민해요. 그럼 많이 파시고 안녕히 계세요.
아니 저기요 돈 안내요?
네? 발라보는것도 돈 내야 하나요?
그럼 이거 누구한테 팔아요? 당신이 바른거를?
아니 먼저 발라 보시라고 하셨잖아요. 먼저 권유해놓고 사라고 강매하는거 갈취인거 몰라요?
내가 안 사도 된다고 말 한 적 있어? 그것도 모르고 바른걸 누구 탓 하나? 빨리 사 당신이 바른거 당신이 사야지
진짜 어이가 없어서 다른 사람들한텐 이렇게 갈취하지마세요. 화딱지나네",
2,9,갈취 대화,"자네 세금계산서 보내준 거 메일이랑 수치가 다르던데?
그게.
얼마나 해먹었어? 괜찮아. 다른 업체들도 다 그래.
회사에는 비밀로 해주십시오.
그래그래. 근데 성의는 표시해야지?
어느정도.생각하시죠?
10장. 네가 많이도 해먹었는데 그정도는 되겠지?
그건 너무 많습니다.
그럼 김사장한테 직접 말하는 수밖에 없지. 그리고 이 건은 국세청에도 걸리는거 알지?
좀 더 기한을 주십시오.","네가 세금계산서를 보내준 건 메일과 수치가 다르던데?
그게,
얼마나 먹었어? 괜찮아。 다른 업체들도 다 그렇지.
회사에는 비밀로 해주세요.
그래그래, 그래도 성의는 보여야지?
어느 정도. 생각하고 계신가요?
네가 많이 해 먹었는데 그 정도는 되겠지?
그건 너무 많아요.
그러면 김 사장에게 직접 말하는 수밖에 없다. 그리고 이 건은 국세청에도 걸리는 거 알지?
좀 더 기한을 주세요."
3,10,갈취 대화,"네 뭐 드릴까요?
말보르 레드 하나.
네. 여기요!
여기 사장은 없어?
네 사장님 지금 안계세요. 뭐 .찾으세요?
지금부터 내 말 잘들어. 여기 주머니에 있는 돈 다 담아.
 네?? 왜 이러세요!!
 입닥쳐. 빨리 사람 오기전에 돈이나 쓸어담어.
 .살려만 주세요 제발
 제대로 안하면 패버릴거니까 빨리빨리 해라.
네.여기요.
진작 이렇게 빨리 줄것이지. 경찰 신고하면 알지?","네, 뭐 드릴까요?
말버러 레드 하나.
네, 여기 있습니다!
여기 사장님 없어?
네, 사장님은 지금 안 계십니다. 무엇을 찾으시나요?
지금부터 내 말 잘 들어. 이 주머니에 있는 돈을 다 넣어.
네?? 무슨일이에요!!
입 다물어. 빨리 사람들이 오기 전에 돈을 긁어모아.
도와주세요 제발
제대로 하지 않으면 할 테니까 빨리 해.
네, 여기 있습니다.
더 빨리 이렇게 빨리 주겠지. 경찰에 신고하면 알지?"
4,13,갈취 대화,"형! 형! 돈좀있어?
저 저요.?
여기 형말고 누가 있어? 형 얼마 있어?
저.저.돈 없어요.근데.제가 왜 형이에요?
에이 잘 생겼으니까 형이지. 형 돈 좀만 주면 안때릴게 좀만 줘봐. 돈 많게 생겼네
저 진짜 현금 없어요.진짜요.놔주세요.
에이 지갑 주머니에 있네! 내가 지갑 뒤져봐도 돼? 뒤져서 나오면 어떻게 하려고? 그냥 줘
저 진짜로 없어요.죄송해요.
나 진짜 지갑 연다? 내가 말로만 이러니까 우스워?
지갑에도 돈 없어요 죄송해요.","형! 돈 있어?
저, 저예요?
여기 형 말고 누가 있어? 형 얼마 갖고 있어?
나.나. 돈이 없어요. 그런데 제가 왜 형이에요?
에이~ 멋있으니까 형이지. 형, 돈 조금만 주면 안 때릴 테니까 조금만 빌려줘. 돈이 많을 것 같군
저는 정말 현금을 가지고 있지 않습니다. 진짜요. 놔주세요.
아니, 지갑 주머니에 있어! 내가 지갑을 찾아봐도 될까? 찾아서 나오면 어떻게 할 생각이야? 그대로 줘
저는 정말 없어요. 죄송해요.
나 진짜 지갑 열겠어? 내가 말만 하니까 이상해?
지갑에도 돈이 없어요. 죄송합니다."
5,15,갈취 대화,"야 너 휴대폰좀 빌려줘봐
안돼. 지난달에도 휴대폰 요금이 너무 많이 나와서 엄마한테 혼났어.
알 바야? 닥치고 폰이나 내놔 
폰 주면 또 결제하려고 그러지? 
응 게임 캐시 다떨어져서 충전좀
안돼 진짜.
맞고 줄래 그냥 줄래?
진짜 한번만 더 결제한거 들켰다가는 휴대폰 뺏길지도 몰라
아 씨 오늘따라 왜이렇게 말이 많아 당장 안내놔?
제발.","야, 오빠. 휴대폰 좀 빌려 주게
안돼 지난달에도 핸드폰 요금이 너무 비싸서 엄마한테 혼났어.
알았지? 잠자코 휴대폰이라도 내게
핸드폰 주면 또 결제하려고 하는 거지?
응, 게임 캐시가 다 떨어져서 충전하고
안 돼, 진짜.
맞아줄래? 그냥 줄래?
정말 다시 결제한거 들키면 핸드폰 뺏길지도 몰라
야, 오늘따라 왜 이렇게 말이 많아. 바로 안 내?
제발."
6,16,갈취 대화,"잠깐만 거기 학생 
예? 저 부르셨너요?
그럼 누구겠어 
왜부르시죠
내가 지갑을 잃어버려서 돈이없다 돈좀 있녀 
아니요 현금없어요 
주머니에 있는거 열어봐 
이건 안되요 
그건 내가 판단해 내놔봐 
이건 제돈아니에요 
이리 안줘? 좀 맞을래? 
그건 정말 제돈 아니에요","잠깐만, 거기 학생
네? 저를 불렀나요?
그러면 누구냐
왜 부르나요
내가 지갑을 잃어버려서 돈이 없다 돈 좀 있나
아니요, 현금은 없습니다
주머니에 있는 걸 열어봐
이것은 안됩니다
그것은 내가 판단해 주게
이것은 제 것이 아닙니다
이쪽으로 안 줄 거야? 좀 맞을래?
그것은 정말 제 돈이 아닙니다"
7,17,갈취 대화,"얼마 가져왔어?
십만원 정도.
야 이걸로 새 폰을 어떻게 사
이게 최선이었어.
그럼 최선을 다해 맞자 너
제발 때리지만 마!
그럼 내일까지 3배로 만들어 와
그걸 어떻게.
아 그건 네가 생각해야지
말도 안돼.","얼마나 가지고 왔어?
십만원 정도.
야, 이걸 가지고 새 폰을 어떻게 사냐
이게 최선이었다.
그럼 최선을 다해서 맞이하자 여보
제발 때리지 마!
그럼, 내일까지 3배로 하고 와
그걸 어떻게.
아, 그건 네가 생각해야지
말도 안 돼."
8,21,갈취 대화,"너 저번에 친구 지갑에서 돈 훔쳤잖아.
그말을 왜 지금 꺼내.
야 다 불어버리기전에 얼마 나한테 줘봐.
내가 왜 줘야되는데?
다 불어버릴거라니까? 니가 가져간 돈 주인이랑 모든 사람들에게?
얼마면 되는데?
10만원만 줘라.
야 지금 10만원 없어.
확 불어버릴까보다?
내일까지 줄게.","너 저번에 친구 지갑에서 돈 훔쳤잖아.
그 얘기를 왜 지금 꺼내.
야, 다 부풀리기 전에 얼마만 나 줘.
왜 내가 줘야 돼?
다 불어버린다고? 네가 가져간 돈의 주인과 모든 사람들에게?
얼마면 되는거야?
10만원만 줘.
야, 지금 10만원 없어.
확 불어버릴까?
내일까지 줄게."
9,27,갈취 대화,"돈을 빌려갔으면 갚아야지
죄송합니다 시간을 조금만 더 주십시오
내가 왜? 내가자선사업가야? 나는 엄연한 사업가야
알고있습니다 부탁드릴게요
뭐 보니까 남은 것도 이제 얼마 없는 것 같은데 말이야
진짜 빈털털이 입니다 한번만 봐주세요
그래도 저 자동차 한대 있네?
저거밖에 없어요정말.
그럼 저거라도 줘야지 남의 돈 빌려가놓고 편하게 차타고 다닐라했어? 걸어다녀야지 그러면서 몸을 떼우고 갚아야지
하지만 이자도 너무 비싸고 .
그럼 아쉬울때는 빌려놓고 이제와서 이제 타령하는거야? 웃기지마 저거는 내가 가져간다",
