,idx,class,conversation,Augmentation
0,5,직장 내 괴롭힘 대화,"나 이틀뒤에 가나다 음식점 예약좀 해줘. 저녁7시로.
가나다 음식점이요.?
응. 남자친구 부모님한테 인사드리려는데 거기가 예약이 좀 힘들어? 그러니까 수진씨가 좀 해줘.
저.팀장님. 저도 월 말 프로젝트로 정신없어서.죄송하지만.
사회생활 안 해본 티를 너무 내는거 아니야? 프로젝트만 백날 잘하면 뭐해? 윗 상사한테 잘 보이기도 해야지!
하지만 팀 프로젝트라서 이번엔.
말 참 이상하게 하네? 이번엔? 내가 뭐 매일같이 이런 심부름이나 시킨다는거야? 뭐야?!
아닙니다. 제가 말 실수 했습니다. 말씀하신 예약 꼭 해두겠습니다.
이러면 하고도 욕먹는거야! 한번에 네네 알겠습니다 하면 좀 좋아?!
죄송합니다. 알겠습니다.",
1,11,직장 내 괴롭힘 대화,"이대리 오늘 도대체 뭘한거야?
창고정리도 하고 바닥도 청소했습니다
이게 한거니?
네 열심히 했습니다
왜 이건 복사 안해놨니?
아까 하라고 안하셨는데요
내가? 아까 말했는데 너가 못들었어 귀 이니?
아닙니다. 지금 당장 하겠습니다
물도 새로 받아와 이걸 먹으라고 한거니?
죄송합니다","이 선생님, 오늘 도대체 무엇을 하셨습니까?
창고와 바닥을 청소했습니다
당신이 이 일을 했나요?
예, 열심히 일했습니다
왜 이걸 복사하지 않으셨나요?
아까 하라고 하지 않으셨죠
저요? 아까 말씀드렸었는데 못 들으셨죠? 귀인가요?
아니요, 지금 바로 하겠습니다
물을 새로 사서 먹으라는 건가요?
죄송해요."
2,14,직장 내 괴롭힘 대화,"김사원
대리님 왜 그러세요?
이거 오늘까지 제출해야 하는데 좀 해줄래?
네? 저도 해야 할 일이 많아서요.
아니 좀 도와달라잖아 그것도 못 해줘?
저도 도와드리고 싶은데 할 일이 많아서요.
너랑 나랑 얼굴 맞대고 일해야 하는데 감당할 수 있겠어?
네?
감당할 수 있으면 하지 말든가
아닙니다 제가 하겠습니다.","김 직원
무슨 일이신가요, 대리님?
오늘까지 제출해야 하는데 해주실 수 있나요?
뭐? 저도 해야 할 일이 많아요.
아니요, 도와달라고요. 그렇게 할 수 없나요?
저도 당신을 돕고 싶지만 할 일이 많습니다.
당신과 나는 얼굴을 맞대고 일해야 하는데, 당신은 감당할 수 있습니까?
뭐라고요?
감당할 수 있다면 하지 마세요
No, I'll do it."
3,19,직장 내 괴롭힘 대화,"나씨 정수기 물탱크 좀 갈아주시겠어요?
싫습니다. 물 저만 마시는 것도 아닌데 매번 저만 하잖아요.
나씨가 저희 부서 유일한 남자직원이잖아요.
그러니까요 저 일꾼 아니고 직원입니다.
그래서 못해주겠다는 건가요?
그런게 아니고 매번 저만 물탱크 갈고 짐 나르는데 부당하다는 겁니다.
나씨가 남자직원이니까 힘도 제일 세고 먹는 양도 저희 여직원보다 더 많을 거 아니에요?
저 정수기 거의 안씁니다. 물 싸가지고 다녀요.
하 그러고도 이 팀에서 잘 어울릴 수 있을까요?
왕따시키겠다는거에요?","나 씨의 정수기 물탱크를 바꿔주실 수 있나요?
싫어요. 저만 물을 마시는 것은 아니지만 항상 물을 마시는 것은 저뿐입니다.
나는 우리 부서의 유일한 남성 직원입니다.
알아요. 저는 근로자가 아니라 직원입니다.
그래서 할 수 없다는 말씀이신가요?
그런 것이 아니라 저만 매번 물탱크를 바꾸고 짐을 들고 다니는데 불공평합니다.
나는 남자 직원이기 때문에 가장 강하고 우리 여직원보다 더 많이 먹습니다?
저는 정수기를 거의 사용하지 않습니다. 물을 가져옵니다.
그럼에도 불구하고 이 팀에 적응할 수 있을까요?
저를 괴롭히려는 건가요?"
4,36,직장 내 괴롭힘 대화,"나이가 몇인데 내가 이런 것까지 일러줘야돼?
죄송합니다
기본적인 것도 탑재가 안되있으면 어떡해?
죄송합니다.
그 죄송하다는 소리좀 듣기 싫어 제대로 할수 없어?
다음부터 제대로 해보겠습니다
그따위로 하다간 다음은 없을지도 몰라 제대로좀해 제발!
네 정말 죄송합니다
아주 가정에서부터 교육을 다시 받아야돼 문제가 많아 요새 젊은 것들은
. 죄송합니다","몇 살이신가요? 이걸 꼭 말씀드려야 하나요?
죄송해요.
기본 사항이 설치되어 있지 않은 경우 어떻게 하나요?
죄송해요.
미안하다는 말 듣고 싶지 않은데 제대로 할 수 없나요?
다음부터는 제대로 하겠습니다
그렇게 하면 다음 기회가 없을 수도 있습니다. 제대로 해주세요!
네, 정말 죄송합니다
요즘 젊은이들은 재택 교육을 받아야 하기 때문에 많은 문제를 겪고 있습니다
.죄송해요."
5,38,직장 내 괴롭힘 대화,"팀장님 오늘 당직이시죠?
그런데?
아 직원 부모님 상당했다고 문자 한통 전직원들에게 부탁드려도될까요?
그런건 서무가 하는일 아니니?
아 그렇긴한데 주말이라 당직자에게 부탁하는건데요.
나는 문자 못보내주겠다 니가 와서 해라
네?
못들었니? 니가 와서 보내라고.
주말인데 사무실까지 가려면 시간좀 걸리는데 한번만 보내주십시오. 당직자가 원래 해주는 일도 맞지 않습니까?
아 그건 모르겠고 니가 와서 보내든가 말든가해라 끊어라","팀장님, 오늘 근무하시는 거죠?
하지만?
아, 부모님이 상당하다고 문자를 보낸 직원들에게 모두 물어봐도 될까요?
점원은 그렇게 하지 않나요?
아, 그건 사실이지만 주말이라 근무 중인 직원에게 물어봅니다.
문자를 보낼 수 없습니다. 와서 하세요
뭐라고요?
못 들으셨나요? 와서 보내주세요.
주말이라 사무실까지 가는 데 시간이 좀 걸릴 테니 한 번만 보내주세요. 당직자가 하는 것이 맞지 않나요?
그건 모르겠지만 당신이 와서 보내야 합니다. 끊으세요"
6,42,직장 내 괴롭힘 대화,"야 조선생 이것 좀 해와
네? 저 부르신건가요?
그래 여기 너말고 더 있냐?
그래도 직장인데 그렇게 부르시는거는 좀.
뭐 그럼 내가 존칭까지 써가면서 불러야겠어? 일이나 제대로 해
네.알겠습니다.
일하고 저기 이따 저기 쓰레기도 좀 버리고 와라. 치료실이 너무 더럽다.
저 혼자하기에는 너무 힘든데요.
그럼 다 늙은 내가 하리?
알겠습니다.버리고 오겠습니다.","조, 나를 위해 이것을 해줘요
뭐? 전화하셨나요?
네, 여기 당신 외에 다른 사람이 있나요?
하지만 직장에서 그렇게 부르기는 어렵습니다.
그렇다면 존댓말을 써서 부를까요? 그냥 일을 제대로 하세요
네, 알겠습니다.
나중에 퇴근 후 쓰레기 버리기. 치료실이 너무 더러워서요.
혼자서 하기에는 너무 어렵습니다.
그럼 다 오래된 걸로 할까요?
알겠습니다. 버릴게요."
7,45,직장 내 괴롭힘 대화,"저 이번에 육아휴직 좀 내려구요
 넌 남잔데 무슨 육아휴직이야
 아내 혼자 너무 힘들어 해서요
 그래서 너만 힘들 줄 아냐
 근데 회사 복지 중에 유가의 휴직제도 있던데요
 그래 쓸 순 있지 한번 써봐
 무슨 말씀이신가요
 니가 휴직하고 와서 니 자리가 있는지 보라고
 너무 부당하다고 생각합니다
 지금 당장 그만두던가","이번에는 육아 휴직을 하려고 합니다
당신은 남자입니다. 어떤 육아 휴직
아내는 혼자서 힘든 시간을 보내고 있습니다
그렇기 때문에 당신만 힘든 것입니다
하지만 회사의 복지 중 하나는 유가 휴직 제도입니다
네, 가능합니다. 사용해 보세요
무슨 말이에요
자리가 있는지 확인하기 위해 휴직 중입니다
너무 불공평하다고 생각합니다
이제 그만둬야 합니다"
8,51,직장 내 괴롭힘 대화,"최대리는 이제 살 좀 빼야지
그래 사람이 너무 둔해 보이네 살 좀 빼는 게 어때
운동을 하고 있습니다
회사 일이 바쁜데 운동할 시간은 있나봐?
일은 제대로 하지도 않으면서 칼퇴는 잘만 하잖아요
죄송합니다
운동을 하는 게 아니라 먹는 걸 줄이라는 거야
사무실에서 쩝쩝거리기는 하고 말이야
죄송합니다
말로만 맨날 죄송하다고 하면 뭐해","최 씨는 지금 체중을 줄여야 합니다
네, 너무 칙칙해 보입니다. 살을 좀 빼지 그래요
난 운동하고 있어요.
직장에서 바쁘신데 운동할 시간이 있으신가요?
제대로 일하지는 않지만 정시에 퇴근하는 데 능숙합니다
죄송해요.
운동하지 않습니다. 먹는 것을 줄이려고 노력하고 있습니다
그는 사무실에서 소리를 내고 있습니다
죄송해요.
항상 미안하다고 말하는 이유는 무엇입니까"
9,60,직장 내 괴롭힘 대화,"인재씨 회사가 만만해요?
그게 무슨 말씀이세요 차장님
지난주에 저한테 사직 고려중이라고 말하지 않았나요
그건 제가 면담하다가 감정이 욱해서 그랬습니다
그럼 지금은 맘이 바뀌었습니까
네 그냥 다니기로 했습니다 죄송합니다
어휴 그때 사직서를 받아놨어야 되는데
죄송합니다
저는 인재씨 잘라버리고 싶어요. 일처리 똑바로 하세요
마음이 아프네요",
